"dr","pw","cat","size","county","state","amount"
1239,1,"B - Protective Measures","Large","Val Verde","TX",100000
1239,22,"B - Protective Measures","Large","Val Verde","TX",80746.1
1239,11,"G - Recreational or Other","Small","Val Verde","TX",25802.6
1239,32,"B - Protective Measures","Small","Val Verde","TX",1112.49
1239,42,"C - Roads & Bridges","Small","Uvalde","TX",5818
1239,52,"C - Roads & Bridges","Small","Uvalde","TX",17460
1239,82,"C - Roads & Bridges","Small","Kinney","TX",22880
1239,72,"C - Roads & Bridges","Large","Val Verde","TX",66632.2
1239,62,"E - Public Buildings","Small","Val Verde","TX",8344
1239,92,"C - Roads & Bridges","Small","Val Verde","TX",19918.5
1239,102,"G - Recreational or Other","Small","Maverick","TX",38933
1239,112,"F - Public Utilities","Small","Kimble","TX",3800
1239,2,"F - Public Utilities","Large","Val Verde","TX",423791
1239,12,"C - Roads & Bridges","Small","Val Verde","TX",10286
1239,23,"C - Roads & Bridges","Small","Val Verde","TX",39872.4
1239,33,"A - Debris Removal","Small","Val Verde","TX",21400
1239,43,"C - Roads & Bridges","Small","Uvalde","TX",3486
1239,53,"C - Roads & Bridges","Small","Uvalde","TX",1827
1239,63,"E - Public Buildings","Large","Val Verde","TX",77156.2
1239,73,"B - Protective Measures","Small","Webb","TX",15400
1239,83,"C - Roads & Bridges","Small","Kinney","TX",26400
1239,93,"B - Protective Measures","Small","Val Verde","TX",1345.61
1239,103,"F - Public Utilities","Small","Maverick","TX",37335
1239,113,"C - Roads & Bridges","Small","Kimble","TX",8313.2
1239,3,"C - Roads & Bridges","Large","Val Verde","TX",66966.2
1239,14,"C - Roads & Bridges","Small","Val Verde","TX",18832
1239,44,"C - Roads & Bridges","Small","Uvalde","TX",2493.7
1239,34,"F - Public Utilities","Large","Val Verde","TX",128060
1239,24,"E - Public Buildings","Small","Val Verde","TX",17089
1239,54,"C - Roads & Bridges","Small","Uvalde","TX",2060
1239,64,"B - Protective Measures","Large","Statewide","TX",500000
1239,74,"C - Roads & Bridges","Small","Val Verde","TX",13920.9
1239,94,"G - Recreational or Other","Small","Val Verde","TX",8463.5
1239,84,"C - Roads & Bridges","Large","Kinney","TX",71134.6
1239,104,"F - Public Utilities","Small","Maverick","TX",38885
1239,114,"C - Roads & Bridges","Small","Kimble","TX",3832.01
1239,4,"C - Roads & Bridges","Small","Val Verde","TX",22305
1239,25,"E - Public Buildings","Large","Val Verde","TX",68496.3
