"dr","pw","cat","size","county","state","amount","fed.share","obligated"
1239,1,"B","Large","Val Verde","TX",100000,75000,80340
1239,22,"B","Large","Val Verde","TX",80746.1,60559.6,62796.3
1239,11,"G","Small","Val Verde","TX",25802.6,19352,20265.4
1239,32,"B","Small","Val Verde","TX",1112.49,834.37,865.18
1239,42,"C","Small","Uvalde","TX",5818,4363.5,4524.66
1239,52,"C","Small","Uvalde","TX",17460,13095,13578.6
1239,82,"C","Small","Kinney","TX",22880,17160,17970
1239,72,"C","Large","Val Verde","TX",66632.2,49974.2,51819.9
1239,62,"E","Small","Val Verde","TX",8344,6258,6489.13
1239,92,"C","Small","Val Verde","TX",19918.5,14938.9,15289.5
1239,102,"G","Small","Maverick","TX",38933,29199.8,30278.2
1239,112,"F","Small","Kimble","TX",3800,2850,2993.64
1239,2,"F","Large","Val Verde","TX",423791,317843,333172
1239,12,"C","Small","Val Verde","TX",10286,7714.5,8183.55
1239,23,"C","Small","Val Verde","TX",39872.4,29904.3,31008.8
1239,33,"A","Small","Val Verde","TX",21400,16050,16642.8
1239,43,"C","Small","Uvalde","TX",3486,2614.5,2711.06
1239,53,"C","Small","Uvalde","TX",1827,1370.25,1420.86
1239,63,"E","Large","Val Verde","TX",77156.2,57867.2,59927.2
1239,73,"B","Small","Webb","TX",15400,11550,12252.2
1239,83,"C","Small","Kinney","TX",26400,19800,20734.6
1791,15296,"E","Small","Statewide","TX",NA,765,765
1239,103,"F","Small","Maverick","TX",37335,28001.3,29035.4
1239,113,"C","Small","Kimble","TX",8313.2,6234.9,6549.14
1239,3,"C","Large","Val Verde","TX",66966.2,50224.6,53975
1239,14,"C","Small","Val Verde","TX",18832,14124,14645.6
1239,44,"C","Small","Uvalde","TX",2493.7,1870.28,1939.35
1239,34,"F","Large","Val Verde","TX",128060,96044.7,97811.9
1239,24,"E","Small","Val Verde","TX",17089,12816.8,13462.7
1239,54,"C","Small","Uvalde","TX",2060,1545,1602.06
1239,64,"B","Large","Statewide","TX",500000,375000,390125
1239,74,"C","Small","Val Verde","TX",13920.9,10440.7,10836.4
1239,94,"G","Small","Val Verde","TX",8463.5,6347.63,6496.59
1239,84,"C","Large","Kinney","TX",71134.6,53351,55921.6
1239,104,"F","Small","Maverick","TX",38885,29163.8,30240.9
1239,114,"C","Small","Kimble","TX",3832.01,2874.01,3018.86
1239,4,"C","Small","Val Verde","TX",22305,16728.8,17745.9
1239,25,"E","Large","Val Verde","TX",68496.3,51372.3,53826.8
1239,15,"C","Small","Val Verde","TX",34904.5,26178.4,27145.2
1239,35,"C","Small","Uvalde","TX",5322.68,3992.01,4193.21
1239,45,"C","Small","Uvalde","TX",11270,8452.5,8764.68
1239,65,"E","Small","Val Verde","TX",25000,18750,19442.5
1239,55,"C","Small","Uvalde","TX",14370,10777.5,11175.5
1239,75,"F","Small","Kinney","TX",5123.25,3842.44,4076.06
1239,85,"G","Small","Val Verde","TX",18722.8,14042.1,14560.7
1239,95,"G","Small","Val Verde","TX",25109.5,18832.1,19274
1239,105,"B","Small","Maverick","TX",15052.6,11289.5,11706.4
1239,115,"C","Small","Val Verde","TX",40419,30314.3,31433.9
1239,6,"G","Small","Val Verde","TX",32116.6,24087.5,25224.4
1239,17,"A","Small","Val Verde","TX",19495.5,14621.6,15161.7
1239,27,"E","Small","Val Verde","TX",7937,5952.75,6172.6
1239,37,"C","Large","Uvalde","TX",47943,35957.3,37974.3
1239,47,"C","Small","Uvalde","TX",3819.67,2864.75,2970.56
1239,57,"C","Small","Uvalde","TX",4110,3082.5,3196.35
1239,67,"E","Small","Val Verde","TX",16038.2,12028.6,12634.9
1239,117,"G","Small","Val Verde","TX",16294,12220.5,12445.4
1239,107,"C","Small","Uvalde","TX",19893.8,14920.3,15471.4
1239,77,"C","Small","Kinney","TX",46670,35002.5,37130.7
1239,5,"G","Small","Val Verde","TX",19685.5,14764.1,15461
1239,97,"B","Small","Maverick","TX",15658.9,11744.2,12336.1
1239,87,"F","Small","Val Verde","TX",30662.3,22996.7,23846
1239,16,"G","Small","Val Verde","TX",23744.2,17808.2,18465.9
1239,26,"E","Small","Val Verde","TX",8454,6340.5,6574.68
1239,36,"C","Small","Uvalde","TX",33440,25080,26344
1239,46,"C","Small","Uvalde","TX",13519,10139.3,10513.7
1239,56,"C","Small","Uvalde","TX",5763,4322.25,4481.88
1239,76,"B","Small","Webb","TX",10730,8047.54,8536.83
1239,66,"E","Small","Val Verde","TX",9152,6864,7117.51
1239,86,"F","Small","Val Verde","TX",37692.5,28269.4,29313.5
1239,96,"F","Large","Maverick","TX",57065,42798.8,44940.9
1239,106,"A","Small","Maverick","TX",44864,33648,34890.7
1239,116,"G","Small","Val Verde","TX",18302.4,13726.8,14048.9
1239,19,"C","Small","Val Verde","TX",41360,31020,31747.9
1239,8,"G","Small","Val Verde","TX",26250.8,19688.1,20617.4
1239,39,"C","Small","Uvalde","TX",5886.34,4414.76,4577.81
1239,59,"E","Small","Val Verde","TX",17595,13196.3,13683.6
1239,49,"C","Small","Uvalde","TX",11696.8,8772.56,9096.56
1239,69,"C","Small","Maverick","TX",3853,2889.75,3065.45
1239,79,"C","Small","Kinney","TX",26400,19800,20825.3
1239,89,"B","Small","Val Verde","TX",7442.09,5581.57,5787.71
1239,99,"F","Large","Maverick","TX",49688.2,37266.2,38783.1
1239,109,"C","Small","Kimble","TX",3046.45,2284.84,2400
1239,120,"G","Small","Val Verde","TX",12221.6,9166.2,9381.3
1239,7,"G","Small","Val Verde","TX",26111,19583.3,20507.6
1239,18,"G","Small","Val Verde","TX",28174,21130.5,21849.8
1239,28,"E","Large","Val Verde","TX",49134.4,36850.8,38430.5
1239,38,"C","Small","Uvalde","TX",30800,23100,23953.2
1239,48,"C","Small","Uvalde","TX",1481.08,1110.81,1151.84
1239,58,"C","Small","Uvalde","TX",17460,13095,13578.6
1239,68,"B","Small","Maverick","TX",6211.7,4658.78,4942.03
1239,78,"C","Small","Kinney","TX",44429,33321.8,35347.7
1239,98,"F","Small","Maverick","TX",14421.6,10816.2,11361.3
1239,31,"C","Small","Val Verde","TX",27380.7,20535.6,21294
1239,108,"C","Small","Kimble","TX",41527,31145.3,32715
1239,41,"C","Small","Uvalde","TX",1489.98,1117.49,1158.77
1239,118,"B","Small","Val Verde","TX",300.31,225.23,233.55
