"name","speed","pressure","cat"
"ARLENE 1999",50,1006,-1
"BRET 1999",125,944,4
"CINDY 1999",120,942,4
"DENNIS 1999",90,962,2
"EMILY 1999",45,1004,-1
"FLOYD 1999",135,921,4
"GERT 1999",130,930,4
"HARVEY 1999",50,994,-1
"IRENE 1999",95,958,3
"JOSE 1999",85,979,2
"KATRINA 1999",35,999,-1
"LENNY 1999",135,933,4
"ALBERTO 2000",110,950,3
"BERYL 2000",45,1007,-1
"CHRIS 2000",35,1008,-1
"DEBBY 2000",75,993,1
"ERNESTO 2000",35,1008,-1
"FLORENCE 2000",70,985,1
"GORDON 2000",70,981,1
"HELENE 2000",60,986,-1
"ISAAC 2000",120,943,4
"JOYCE 2000",80,975,1
"KEITH 2000",120,939,4
"LESLIE 2000",60,973,-1
"MICHAEL 2000",85,965,2
"NADINE 2000",50,999,-1
"UNNAMED 2000",55,978,-1
"ALLISON 2001",50,1000,-1
"UNNAMED 2001",25,1010,0
"BARRY 2001",60,990,-1
"CHANTAL 2001",60,997,-1
"DEAN 2001",60,994,-1
"ERIN 2001",105,968,3
"FELIX 2001",100,962,3
"GABRIELLE 2001",70,975,1
"UNNAMED 2001",30,1005,0
"HUMBERTO 2001",90,970,2
"IRIS 2001",125,948,4
"JERRY 2001",45,1004,-1
"KAREN 2001",70,982,1
"LORNEZO 2001",35,1007,-1
"MICHELLE 2001",120,934,4
"NOEL 2001",65,986,1
"OLGA 2001",80,973,1
"ARTHUR 2002",50,992,-1
"BERTHA 2002",35,1007,-1
"CRISTOBAL 2002",45,999,-1
"DOLLY 2002",50,997,-1
"EDOUARD 2002",55,1002,-1
"FAY 2002",50,998,-1
"UNNAMED 2002",30,1013,0
"GUSTAV 2002",85,960,2
"HANNA 2002",50,1001,-1
"ISIDORE 2002",110,934,3
"JOSEPHINE 2002",50,1004,-1
"KYLE 2002",75,980,1
"LILI 2002",125,938,4
"UNNAMED 2002",30,1002,0
"ANA 2003",50,994,-1
"UNNAMED 2003",30,1008,0
"BILL 2003",50,997,-1
"CLAUDETTE 2003",80,979,1
"DANNY 2003",65,1000,1
"UNNAMED 2003",30,1010,0
"UNNAMED 2003",30,1016,0
"ERIKA 2003",65,986,1
"UNNAMED 2003",30,1007,0
"FABIAN 2003",125,939,4
"GRACE 2003",35,1007,-1
"HENRI 2003",50,997,-1
"ISABEL 2003",145,915,5
"UNNAMED 2003",30,1007,0
"JUAN 2003",90,969,2
"KATE 2003",110,952,3
"LARRY 2003",55,993,-1
"MINDY 2003",40,1002,-1
"NICHOLAS 2003",60,990,-1
"ODETTE 2003",55,993,-1
"PETER 2003",60,990,-1
"ALEX 2004",105,957,3
"BONNIE 2004",55,1001,-1
"CHARLEY 2004",130,941,4
"DANIELLE 2004",95,964,3
"EARL 2004",45,1009,-1
"FRANCES 2004",125,935,4
"GASTON 2004",65,985,1
"HERMINE 2004",50,1002,-1
"IVAN 2004",145,910,5
"UNNAMED 2004",30,1009,0
"JEANNE 2004",105,950,3
"KARL 2004",125,938,4
"LISA 2004",65,987,1
"MATTHEW 2004",40,997,-1
"NICOLE 2004",45,986,-1
"OTTO 2004",45,995,-1
"ARLENE 2005",60,989,-1
"BRET 2005",35,1002,-1
"CINDY 2005",65,991,1
"DENNIS 2005",130,930,4
"EMILY 2005",140,929,5
"FRANKLIN 2005",60,997,-1
"GERT 2005",40,1005,-1
"HARVEY 2005",55,994,-1
"IRENE 2005",90,970,2
